,0
779,85222
780,85233
781,8552
782,85555
783,86021
784,861
785,864233
786,86688
787,86888
788,87021
789,87066
790,87070
791,87077
792,87121
793,87131
794,8714714
795,872
796,87239
797,87575
798,8800
799,88039
800,88066
801,88088
802,88222
803,88600
804,88800
805,8883
806,88877
807,88888
808,89034
809,89070
810,89080
811,89105
812,89123
813,89545
814,89555
815,89693
816,89938
817,8am
818,8ball
819,8lb
820,8p
821,8pm
822,8th
823,8wp
824,900
825,9061100010
826,910
827,9153
828,9280114
829,92h
830,930
831,9307622
832,945
833,946
834,95
835,9755
836,9758
837,97n7qp
838,98321561
839,99
840,9996
841,9ae
842,9am
843,9ja
844,9pm
845,9t
846,9th
847,9yt
848,____
849,_thanks
850,a1
851,a21
852,a30
853,a50
854,aa
855,aah
856,aaniye
857,aaooooright
858,aathi
859,ab
860,abbey
861,abdomen
862,abeg
863,abel
864,aberdeen
865,abi
866,ability
867,abiola
868,abj
869,able
870,abnormally
871,about
872,aboutas
873,above
874,abroad
875,absence
876,absolutely
877,absolutly
878,abstract
879,abt
880,abta
881,aburo
882,abuse
883,abusers
884,ac
885,academic
886,acc
887,accent
888,accenture
889,accept
890,access
891,accessible
892,accidant
893,accident
894,accidentally
895,accommodation
896,accommodationvouchers
897,accomodate
898,accomodations
899,accordin
900,accordingly
901,account
902,accounting
903,accounts
904,accumulation
905,achan
906,ache
907,achieve
908,acid
909,acknowledgement
910,acl03530150pm
911,acnt
912,aco
913,across
914,act
915,acted
916,actin
917,acting
918,action
919,activ8
920,activate
921,active
922,activities
923,actor
924,actual
925,actually
926,ad
927,adam
928,add
929,addamsfa
930,added
931,addicted
932,addie
933,adding
934,address
935,adds
936,adewale
937,adi
938,adjustable
939,admin
940,administrator
941,admirer
942,admission
943,admit
944,adore
945,adoring
946,adp
947,adress
948,adrian
949,adrink
950,ads
951,adsense
952,adult
953,adults
954,advance
955,adventure
956,adventuring
957,advice
958,advise
959,advising
960,advisors
961,aeronautics
962,aeroplane
963,afew
964,affair
965,affairs
966,affection
967,affectionate
968,affections
969,affidavit
970,afford
971,afghanistan
972,afraid
973,africa
974,african
975,aft
976,after
977,afternon
978,afternoon
979,afternoons
980,afterwards
981,aftr
982,ag
983,again
984,against
985,agalla
986,age
987,age16
988,age23
989,agency
990,agent
991,agents
992,ages
993,agidhane
994,aging
995,ago
996,agree
997,ah
998,aha
999,ahead
1000,ahhh
1001,ahhhh
1002,ahmad
1003,ahold
1004,aid
1005,aids
1006,aig
1007,aight
1008,ain
1009,aint
1010,air
1011,air1
1012,airport
1013,airtel
1014,aiya
1015,aiyah
1016,aiyar
1017,aiyo
1018,ajith
1019,ak
1020,aka
1021,akon
1022,al
1023,alaikkum
1024,alaipayuthe
1025,albi
1026,album
1027,alcohol
1028,aldrine
1029,alert
1030,alertfrom
1031,alerts
1032,aletter
1033,alex
1034,alfie
1035,algarve
1036,algebra
1037,algorithms
1038,ali
1039,alian
1040,alibi
1041,alive
1042,all
1043,allah
1044,allalo
1045,allday
1046,alle
1047,allo
1048,allow
1049,allowed
1050,allows
1051,almost
1052,alone
1053,along
1054,alot
1055,already
1056,alright
1057,alrite
1058,also
1059,alter
1060,alternative
1061,although
1062,alto18
1063,aluable
1064,alwa
1065,always
1066,alwys
1067,am
1068,amanda
1069,amazing
1070,ambitious
1071,ambrith
1072,american
1073,ami
1074,amigos
1075,amk
1076,amla
1077,amma
1078,ammae
1079,ammo
1080,amnow
1081,among
1082,amongst
1083,amore
1084,amount
1085,amp
1086,amplikater
1087,amrca
1088,amrita
1089,ams
1090,amt
1091,amused
1092,amy
1093,an
1094,ana
1095,anal
1096,analysis
1097,anand
1098,and
1099,anderson
1100,andre
1101,andres
1102,andrews
1103,andros
1104,angels
1105,angry
1106,animal
1107,animation
1108,anjie
1109,anjola
1110,anna
1111,annie
1112,anniversary
1113,annoncement
1114,announced
1115,announcement
1116,annoyin
1117,annoying
1118,anonymous
1119,anot
1120,another
1121,ans
1122,ansr
1123,answer
1124,answered
1125,answerin
1126,answering
1127,answers
1128,answr
1129,antelope
1130,antha
1131,anthony
1132,anti
1133,antibiotic
1134,any
1135,anybody
1136,anyhow
1137,anymore
1138,anyone
1139,anyones
1140,anyplaces
1141,anythiing
1142,anythin
1143,anything
1144,anythingtomorrow
1145,anytime
1146,anyway
1147,anyways
1148,anywhere
1149,aom
1150,apart
1151,apartment
1152,apes
1153,apeshit
1154,aphexs
1155,apnt
1156,apo
1157,apologetic
1158,apologise
1159,apologize
1160,apology
1161,app
1162,apparently
1163,appeal
1164,appear
1165,appendix
1166,applausestore
1167,applebees
1168,apples
1169,application
1170,apply
1171,applyed
1172,applying
1173,appointment
1174,appointments
1175,appreciate
1176,appreciated
1177,approaches
1178,approaching
1179,appropriate
1180,approve
1181,approved
1182,approx
1183,apps
1184,appt
1185,appy
1186,april
1187,aproach
1188,apt
1189,aptitude
1190,aquarius
1191,ar
1192,arab
1193,arabian
1194,arcade
1195,archive
1196,ard
1197,are
1198,area
1199,aren
1200,arent
1201,arestaurant
1202,aretaking
1203,areyouunique
1204,argentina
1205,argh
1206,argue
1207,arguing
1208,argument
1209,arguments
1210,aries
1211,arise
1212,arises
1213,arithmetic
1214,arm
1215,armand
1216,armenia
1217,arms
1218,arng
1219,arngd
1220,arnt
1221,around
1222,aroundn
1223,arr
1224,arrange
1225,arranging
1226,arrested
1227,arrival
1228,arrive
1229,arrived
1230,arrow
1231,arsenal
1232,art
1233,artists
1234,arts
1235,arty
1236,arul
1237,arun
1238,as
1239,asa
1240,asap
1241,asda
1242,ashes
1243,ashley
1244,ashwini
1245,asia
1246,asian
1247,asjesus
1248,ask
1249,askd
1250,asked
1251,askin
1252,asking
1253,asks
1254,aslamalaikkum
1255,asleep
1256,asp
1257,aspects
1258,ass
1259,assessment
1260,asshole
1261,assistance
1262,associate
1263,asssssholeeee
1264,assume
1265,assumed
1266,asthere
1267,asthma
1268,astne
1269,astoundingly
1270,astrology
1271,astronomer
1272,asus
1273,asusual
1274,at
1275,ate
1276,athletic
1277,athome
1278,atlanta
1279,atlast
1280,atleast
1281,atm
1282,atrocious
1283,attach
1284,attached
1285,attack
1286,attempt
1287,atten
1288,attend
1289,attended
1290,attending
1291,attention
1292,attitude
1293,attraction
1294,attractive
1295,attracts
1296,attributed
1297,atural
1298,auction
1299,audiitions
1300,audition
1301,audrey
1302,audrie
1303,august
1304,aunt
1305,auntie
1306,aunties
1307,aunts
1308,aunty
1309,aust
1310,australia
1311,authorise
1312,auto
1313,autocorrect
1314,av
1315,ava
1316,availa
1317,available
1318,avalarr
1319,avatar
1320,avble
1321,ave
1322,avenge
1323,avent
1324,avenue
1325,avin
1326,avo
1327,avoid
1328,avoiding
1329,avoids
1330,await
1331,awaiting
1332,awake
1333,award
1334,awarded
1335,away
1336,awesome
1337,awkward
1338,aww
1339,awww
1340,ax
1341,axel
1342,axis
1343,ay
1344,ayn
1345,ayo
1346,b4
1347,b4190604
1348,b4280703
1349,b4u
1350,b4utele
1351,ba
1352,ba128nnfwfly150ppm
1353,baaaaaaaabe
1354,baaaaabe
1355,babe
1356,babes
1357,babies
1358,baby
1359,babygoodbye
1360,babyjontet
1361,babysit
1362,babysitting
1363,bac
1364,back
1365,backdoor
1366,backwards
1367,bad
1368,badass
1369,badly
1370,badrith
1371,bag
1372,bags
1373,bahamas
1374,baig
1375,bailiff
1376,bajarangabali
1377,bak
1378,bakra
1379,bakrid
1380,balance
1381,ball
1382,baller
1383,balloon
1384,balls
1385,bam
1386,bambling
1387,band
1388,bandages
1389,bang
1390,bangb
1391,bangbabes
1392,bani
1393,bank
1394,banks
1395,banned
1396,banneduk
1397,banter
1398,bao
1399,bar
1400,barbie
1401,barcelona
1402,bare
1403,barely
1404,bari
1405,barkleys
1406,barmed
1407,barolla
1408,barred
1409,barrel
1410,barring
1411,barry
1412,bars
1413,base
1414,based
1415,bash
1416,basic
1417,basically
1418,basket
1419,basketball
1420,basq
1421,bat
1422,batch
1423,batchlor
1424,bath
1425,bathe
1426,bathing
1427,bathroom
1428,batsman
1429,batt
1430,battery
1431,battle
1432,bawling
1433,bay
1434,bb
1435,bbc
1436,bbd
1437,bbdeluxe
1438,bbq
1439,bc
1440,bcaz
1441,bck
1442,bcm
1443,bcm1896wc1n3xx
1444,bcm4284
1445,bcmsfwc1n3xx
1446,bcoz
1447,bcs
1448,bcum
1449,bcums
1450,bcz
1451,bday
1452,be
1453,beach
1454,beads
1455,bear
1456,bears
1457,beatings
1458,beauties
1459,beautiful
1460,beauty
1461,bec
1462,becaus
1463,because
1464,becausethey
1465,become
1466,becomes
1467,becoz
1468,becz
1469,bed
1470,bedbut
1471,bedreal
1472,bedrm
1473,bedroom
1474,beeen
1475,beehoon
1476,been
1477,beendropping
1478,beer
1479,beerage
1480,beers
1481,befor
1482,before
1483,beforehand
1484,beg
1485,beggar
1486,begging
1487,begin
1488,begins
1489,begun
1490,behalf
1491,behave
1492,behind
1493,bein
1494,being
1495,believe
1496,belive
1497,bell
1498,bellearlier
1499,belligerent
1500,belly
1501,belong
1502,belongs
1503,belovd
1504,beloved
1505,belt
1506,ben
1507,bend
1508,beneath
1509,beneficiary
1510,benefits
1511,bennys
1512,bergkamp
1513,beside
1514,best
1515,best1
1516,bet
1517,beta
1518,beth
1519,betta
1520,better
1521,bettersn
1522,bettr
1523,between
1524,beverage
1525,bevies
1526,beware
1527,beyond
1528,bf
1529,bffs
1530,bfore
1531,bhaji
1532,bham
1533,bhaskar
1534,bhayandar
1535,bian
1536,biatch
1537,bid
1538,bids
1539,big
1540,bigger
1541,biggest
1542,bike
1543,bill
1544,billed
1545,billing
1546,billion
1547,bills
1548,billy
1549,bilo
1550,bimbo
1551,bin
1552,biola
1553,bird
1554,birds
1555,birla
1556,biro
1557,birth
1558,birthdate
1559,birthday
1560,bishan
1561,bit
1562,bitch
1563,bitching
1564,bite
1565,bites
1566,bits
1567,biz
1568,bk
1569,black
1570,blackberry
1571,blacko
1572,blah
1573,blake
1574,blame
1575,blank
1576,blanked
1577,blanket
1578,blankets
1579,blastin
1580,bleak
1581,bleh
1582,bless
1583,blessed
1584,blessing
1585,blessings
1586,blimey
1587,blind
1588,block
1589,blocked
1590,blog
1591,blogging
1592,blogspot
1593,bloke
1594,blokes
1595,blonde
1596,bloo
1597,blood
1598,bloody
1599,bloomberg
1600,blow
1601,blowing
1602,blown
1603,blu
1604,blue
1605,bluetooth
1606,bluetoothhdset
1607,bluff
1608,blur
1609,bluray
1610,bmw
1611,board
1612,boat
1613,boatin
1614,bob
1615,body
1616,boggy
1617,bognor
1618,bold
1619,bold2
1620,bollox
1621,boltblue
1622,bomb
1623,bone
1624,bong
1625,bonus
1626,boo
1627,boobs
1628,book
1629,booked
1630,bookedthe
1631,booking
1632,bookmark
1633,books
1634,bookshelf
1635,boooo
1636,boost
1637,booty
1638,bootydelious
1639,borderline
1640,bored
1641,borin
1642,boring
1643,born
1644,borrow
1645,boss
1646,boston
1647,bot
1648,both
1649,bother
1650,bothering
1651,bottle
1652,bottom
1653,bought
1654,boughtbraindancea
1655,boundaries
1656,bout
1657,bowa
1658,bowl
1659,bowls
1660,box
1661,box1146
1662,box139
1663,box177
1664,box245c2150pm
1665,box326
1666,box334
1667,box334sk38ch
1668,box385
1669,box39822
1670,box403
1671,box420
1672,box42wr29c
1673,box434sk38wp150ppm18
1674,box61
1675,box95qu
1676,box97n7qp
1677,boy
1678,boye
1679,boyf
1680,boyfriend
1681,boys
1682,boytoy
1683,bpo
1684,brah
1685,brain
1686,brainless
1687,brains
1688,brainy
1689,brand
1690,brandy
1691,bras
1692,brats
1693,braved
1694,bray
1695,brb
1696,brdget
1697,bread
1698,breadstick
1699,break
1700,breaker
1701,breakfast
1702,breakin
1703,breaking
1704,breaks
1705,breath
1706,breathe
1707,breathe1
1708,breather
1709,breathing
1710,breeze
1711,breezy
1712,bribe
1713,bridal
1714,bridge
1715,bridgwater
1716,brief
1717,bright
1718,brighten
1719,brilliant
1720,brilliantly
1721,brin
1722,bring
1723,bringing
1724,brings
1725,brisk
1726,brison
1727,bristol
1728,british
1729,britney
1730,bro
1731,broad
1732,broadband
1733,broke
1734,broken
1735,brolly
1736,bros
1737,broth
1738,brothas
1739,brother
1740,brothers
1741,brought
1742,brown
1743,brownie
1744,brownies
1745,browse
1746,browser
1747,browsin
1748,bruce
1749,brum
1750,bruv
1751,bslvyl
1752,bsn
1753,bsnl
1754,bstfrnd
1755,bt
1756,bthere
1757,btw
1758,btwn
1759,bubbletext
1760,bucks
1761,bud
1762,buddy
1763,buddys
1764,budget
1765,buen
1766,buff
1767,buffet
1768,buffy
1769,bugis
1770,build
1771,building
1772,built
1773,bulbs
1774,bull
1775,bullshit
1776,bunch
1777,bundle
1778,bunkers
1779,buns
1780,burden
1781,burger
1782,burgundy
1783,burial
1784,burn
1785,burning
1786,burns
1787,burnt
1788,burrito
1789,bus
1790,bus8
1791,buses
1792,busetop
1793,business
1794,busty
1795,busy
1796,but
1797,butt
1798,buttheres
1799,butting
1800,buttons
1801,buy
1802,buyer
1803,buyers
1804,buying
1805,buz
1806,buzy
1807,buzz
1808,buzzzz
1809,bw
1810,bx
1811,bx420
1812,bx526
1813,by
1814,byatch
1815,bye
1816,byleafcutter
1817,c52
1818,cab
1819,cabin
1820,cable
1821,cafe
1822,cage
1823,cake
1824,cakes
1825,cal
1826,calculated
1827,calculation
1828,cali
1829,calicut
1830,california
1831,call
1832,call09050000327
1833,call2optout
1834,callback
1835,callcost
1836,callcost150ppmmobilesvary
1837,calld
1838,called
1839,caller
1840,callers
1841,callertune
1842,callfreefone
1843,callin
1844,calling
1845,callon
1846,calls
1847,calls1
1848,calm
1849,cam
1850,camcorder
1851,came
1852,camera
1853,camp
1854,campus
1855,camry
1856,can
1857,canada
1858,canal
1859,canary
1860,cancel
1861,canceled
1862,cancelled
1863,cancer
1864,canlove
1865,cann
1866,canname
1867,cannot
1868,cant
1869,cantdo
1870,canteen
1871,capacity
1872,capital
1873,cappuccino
1874,caps
1875,captain
1876,captaining
1877,car
1878,card
1879,cardiff
1880,cardin
1881,cards
1882,care
1883,careabout
1884,cared
1885,career
1886,careers
1887,careful
1888,carefully
1889,careless
1890,cares
1891,caring
1892,carlie
1893,carlin
1894,carlos
1895,carly
1896,carolina
1897,caroline
1898,carpark
1899,carry
1900,carryin
1901,cars
1902,cartons
1903,cartoon
1904,case
1905,cash
1906,cashbin
1907,cashed
1908,cashto
1909,casing
1910,cast
1911,casting
1912,castor
1913,casualty
1914,cat
1915,catch
1916,catches
1917,catching
1918,categories
1919,caught
1920,cause
1921,causes
1922,causing
1923,cave
1924,caveboy
1925,cbe
1926,cc
1927,cc100p
1928,ccna
1929,cd
1930,cdgt
1931,cds
1932,cedar
1933,ceiling
1934,celeb
1935,celebrate
1936,celebrated
1937,celebration
1938,celebrations
1939,cell
1940,census
1941,center
1942,centre
1943,century
1944,cer
1945,cereals
1946,ceri
1947,certainly
1948,certificate
1949,cha
1950,chachi
1951,chad
1952,chain
1953,challenge
1954,challenging
1955,champ
1956,champlaxigating
1957,champneys
1958,chance
1959,chances
1960,change
1961,changed
1962,changes
1963,changing
1964,channel
1965,chapel
1966,chaps
1967,chapter
1968,character
1969,characters
1970,charge
1971,charged
1972,charges
1973,charity
1974,charles
1975,charlie
1976,charming
1977,chart
1978,charts
1979,chase
1980,chasing
1981,chastity
1982,chat
1983,chat80155
1984,chatlines
1985,chatter
1986,chatting
1987,cheap
1988,cheaper
1989,cheat
1990,cheating
1991,chechi
1992,check
1993,checkboxes
1994,checked
1995,checkin
1996,checking
1997,checkmate
1998,checkup
1999,cheek
2000,cheer
2001,cheered
2002,cheers
2003,cheery
2004,cheese
2005,cheesy
2006,cheetos
2007,chef
2008,chennai
2009,cheque
2010,cherish
2011,cherthala
2012,chess
2013,chest
2014,chex
2015,cheyyamo
2016,chez
2017,chg
2018,chgs
2019,chic
2020,chick
2021,chicken
2022,chickened
2023,chief
2024,chik
2025,chikku
2026,child
2027,childish
2028,childporn
2029,children
2030,childrens
2031,chile
2032,chill
2033,chillaxin
2034,chillin
2035,china
2036,chinatown
2037,chinchillas
2038,chinese
2039,chinky
2040,chinnu
2041,chiong
2042,chip
2043,chit
2044,chk
2045,chloe
2046,chocolate
2047,choice
2048,choices
2049,choose
2050,choosing
2051,chop
2052,chords
2053,chores
2054,chosen
2055,chrgd
2056,christ
2057,christians
2058,christmas
2059,christmassy
2060,chuck
2061,chuckin
2062,church
2063,ciao
2064,cine
2065,cinema
2066,citizen
2067,city
2068,citylink
2069,cl
2070,claim
2071,claimcode
2072,claims
2073,claire
2074,clarification
2075,clarify
2076,clark
2077,clas
2078,clash
2079,class
2080,classes
2081,classic
2082,classmates
2083,claypot
2084,cld
2085,clean
2086,cleaning
2087,clear
2088,cleared
2089,clearer
2090,clearing
2091,clearly
2092,clever
2093,click
2094,cliff
2095,cliffs
2096,clip
2097,clock
2098,clocks
2099,clos1
2100,close
2101,closeby
2102,closed
2103,closer
2104,closes
2105,closingdate04
2106,cloth
2107,clothes
2108,cloud
2109,clover
2110,club
2111,club4
2112,club4mobiles
2113,clubmoby
2114,clubsaisai
2115,clubzed
2116,clue
2117,cm
2118,cm2
2119,cme
2120,cmon
2121,cn
2122,cnl
2123,cnn
2124,cnupdates
2125,co
2126,coach
2127,coast
2128,coat
2129,coaxing
2130,coca
2131,coccooning
2132,cochin
2133,cock
2134,cocksuckers
2135,coco
2136,code
2137,coffee
2138,coherently
2139,coimbatore
2140,coin
2141,coincidence
2142,coins
2143,cola
2144,colany
2145,cold
2146,colin
2147,collages
2148,collapsed
2149,colleagues
2150,collect
2151,collected
2152,collecting
2153,collection
2154,colleg
2155,college
2156,color
2157,colour
2158,colourful
2159,colours
2160,com
2161,com1win150ppmx3age16
2162,com1win150ppmx3age16subscription
2163,comb
2164,combination
2165,combine
2166,come
2167,comedy
2168,comes
2169,comfey
2170,comfort
2171,comin
2172,coming
2173,comingdown
2174,command
2175,comment
2176,commercial
2177,commit
2178,common
2179,community
2180,como
2181,comp
2182,companies
2183,companion
2184,company
2185,compare
2186,compass
2187,compensation
2188,competition
2189,complacent
2190,complain
2191,complaining
2192,complaint
2193,complementary
2194,complete
2195,completed
2196,completely
2197,completes
2198,completing
2199,complexities
2200,complimentary
2201,compliments
2202,comprehensive
2203,compromised
2204,compulsory
2205,computational
2206,computer
2207,computerless
